eBird Hotspot Name,Locality_ID,Latitude,Longitude,State,Status
Patterson Place Constructed Wetland,L5079211,35.948085,-78.990487,US-NC,C
Fairview Wetlands,L1215512,44.895153,-123.004434,US-OR,U
EcOhio Farm and Wetland (restricted access),L3897351,39.4061633,-84.3022692,US-OH,U
116th Ave and 8th St. wetland,L1765623,42.5359802,-85.6235128,US-MI,U
Sunrise Valley Park (Herndon Monroe Wetland Preserve),L1355334,38.9492778,-77.3879861,US-VA,U
Sandhill Crane Wetlands,L4400936,41.630533,-83.8163817,US-OH,N
Crook St. Wetlands,L2712976,41.2639529,-82.0722592,US-OH,N
Chatham Co. Wetlands Preserve,L2754456,31.9884761,-81.2908459,US-GA,C
"Ash Brook wetland, Keene",L442904,42.9293895,-72.30021,US-NH,C
Fairbrook Wetlands,L897877,40.7281938,-77.9353863,US-PA,N
Sue's Pond--Logan River Wetlands and Shorebird Playa,L586105,41.7320355,-111.8809032,US-UT,U
Boone Greenway--Created Wetland,L3088296,36.2061686,-81.6520321,US-NC,C
Nazarene Church Road Wetlands,L2394893,38.4168631,-79.0693545,US-VA,N
Wissahickon Valley Park--Saylor Grove Stormwater Wetland,L3985123,40.0296125,-75.1874065,US-PA,C
Cedar Mill Wetlands,L3104649,45.519647,-122.796581,US-OR,N
Roslindale Wetlands Urban Wild Park,L1171746,42.2939332,-71.1317861,US-MA,N
White Marsh Wetlands--Franklin Square Dr.,L1485630,39.3662483,-76.4589914,US-MD,C
Ocala Wetland Recharge Park,L9783145,29.209398,-82.1602022,US-FL,C
San Juan Wetlands,L1850000,26.1606244,-98.157516,US-TX,C
Cutler Rd. and Dunn Rd. wetland,L3546007,42.3398231,-84.2580879,US-MI,U
"Cranberry Pond wetlands behind shopping center, W. Lebanon",L6207227,43.6225889,-72.3234755,US-NH,N
Auburn Middle School Wetland,L9798114,38.7378821,-77.7136851,US-VA,C
Wetland on Weld CR 46,L4595389,40.3197145,-104.7085422,US-CO,C
Kent State University--Stark Pond and Wetlands Research Area,L1883908,40.8665192,-81.4341545,US-OH,U
Lily Lake Rd. and Hwy. 29 Wetland,L727583,44.4422523,-87.8503811,US-WI,N
Augusta Springs Wetlands Trail,L548797,38.107699,-79.3121266,US-VA,N
Imperial Irrigation District Wetland Project--Niland,L866412,33.2118848,-115.5204034,US-CA,C
Kent State University--Kent Wetlands,L1176818,41.1422087,-81.3318139,US-OH,U
Davis Wetlands,L442170,38.5836668,-121.6371918,US-CA,C
EWEB wetlands,L1979702,44.0633762,-123.1703811,US-OR,C
Mehraban Wetland Park,L788316,40.5355062,-111.8679186,US-UT,C
White Star Park--Doug Haubert Wetland,L7895629,41.377007,-83.3017496,US-OH,N
Sedge Meadow Forest Preserve (Wadsworth Wetlands),L152734,42.4251,-87.9329,US-IL,N
John Bunker Sands Wetlands Ctr,L602507,32.6137185,-96.5008752,US-TX,C
Roosevelt Wetland,L1009347,27.8708722,-82.6895428,US-FL,C
Chippewa Nature Center--Wetlands,L165453,43.5937612,-84.2899901,US-MI,N
Dolan Wetlands (view from road),L4340979,39.2457812,-86.5008116,US-IN,N
Limberlost Swamp Wetland Preserve (Adams Co.),L3774319,40.572794,-84.980752,US-IN,N
Clous and Schneider Rds. wetlands,L7048843,44.5995352,-85.6155968,US-MI,N
Jewell Wetlands Park,L341631,39.6830208,-104.8348102,US-CO,C
Fairvew Park/Tollgate Wetlands,L2739896,42.7449786,-84.5213681,US-MI,U
Pistol Creek Wetland Center,L1024020,35.724324,-83.9832927,US-TN,N
Oregon State Psychiatric Hospital Wetlands,L5491967,44.1701617,-123.2000506,US-OR,C
Topeka KSU Farm Wetland,L3232487,39.0768551,-95.7715666,US-KS,C
Mill Hall Wetlands,L1456845,41.124189,-77.498077,US-PA,N
Loblolly Marsh Wetland Preserve,L1267726,40.5548306,-85.0300598,US-IN,N
MacArthur Park and Starleaf Street seasonal wetlands,L603509,32.9622578,-96.955046,US-TX,C
Clay Ave. Wetland (Tessie McNamara Park),L584308,40.8026677,-74.1024077,US-NJ,C
Jersey Village Jogging Trail Wetland,L6013884,29.8961472,-95.57594,US-TX,C
Gulf Lab Rd. Wetland,L1060269,40.5405964,-79.835844,US-PA,C
Coonpath Rd. Wetland (view from roadside only),L6223351,39.7724111,-82.6876545,US-OH,C
South Hill Rd. wetlands,L9068269,42.5005629,-83.5956826,US-MI,N
Bailey Homestead Wetlands Preserve,L6595361,26.4447115,-82.0491171,US-FL,U
Trails End Park (Coburg Industrial Way Wetland),L10139371,44.1489433,-123.0580246,US-OR,U
Boardman Wetlands (NCPRD),L13262305,45.393645,-122.612836,US-OR,C
Indreland Audubon Wetland Preserve,L4665721,45.681485,-111.0178714,US-MT,N
Leitner Drive/Holiday Inn Express Wetlands,L3558925,35.0879238,-80.8819056,US-NC,N
Sarita Wetland,L1471155,44.977359,-93.1817346,US-MN,C
Pine Brook Wetlands (Clear Lake),L762725,29.6057717,-95.1156964,US-TX,N
Wayne National Forest--Rutherford Wetland and Anderson Nature Trail,L2680189,39.5085439,-82.2618484,US-OH,N
Taylor Wetlands,L5567043,47.0380947,-122.8527421,US-WA,C
Las Lagunas de Anza wetlands (Drive-in Ponds),L879018,31.3896771,-110.9557467,US-AZ,N
Susquehanna Riverlands--Wetlands Nature Area,L697677,41.0777623,-76.1352723,US-PA,N
New World Avenue Wetlands (POW MIA Mem Pkwy),L4583569,30.2625886,-81.8862534,US-FL,U
Buckner Educational Wetlands,L280810,39.1420977,-94.1752012,US-MO,C
Millennium Trail wetlands,L2255107,42.2124915,-85.5924869,US-MI,U
Arlington Wetlands,L4339288,38.698868,-90.0408983,US-IL,U
Westlake Wetland,L7578615,41.4274793,-81.9431948,US-OH,C
Swallowtail Wetland,L5781255,39.157599,-95.008121,US-KS,C
East Bangor Wetland Complex,L1842156,40.8855314,-75.180763,US-PA,N
Lexington St. Pond and wetlands,L6326941,45.9902219,-112.5300783,US-MT,U
Lower Pueblo Canyon Wetlands (Santa Fe Co.),L3621918,35.8802185,-106.2329328,US-NM,N
Carse Wetlands (UVM Natural Area),L5912437,44.3088637,-73.1266308,US-VT,N
